'Scarcely a day goes by without a report of a new black market deal,' said Sen. John Glenn in a statement reacting to the report.	What does Glenn say about the reported black market deal?	1
It does not include figures on U.S. nuclear exports but says 71 export licenses for nuclear materials were granted in 1993.	What else does the report not include?	1
Amid skepticism that Russia's war in Chechnya can be ended across a negotiating table, peace talks were set to resume Wednesday in neighboring Ingushetia.	What is the recent history of the peace talks?	1
The scheduled resumption of talks in the town of Sleptsovsk came two days after agreement on a limited cease-fire, calling for both sides to stop using heavy artillery Tuesday.	What else was agreed upon by the representatives of the Russian Federation and Ingushetia?	1
The scheduled resumption of talks in the town of Sleptsovsk came two days after agreement on a limited cease-fire, calling for both sides to stop using heavy artillery Tuesday.	What is problematic about the limited cease-fire?	1
Amid skepticism that Russia's war in Chechnya can be ended across a negotiating table, peace talks were set to resume Wednesday in neighboring Ingushetia.	Why are the peace talks set to resume?	1
Russian Prime Minister Viktor Chernomyrdin said Tuesday that Moscow is also willing to talk to individual field commanders, the Interfax news agency reported.	How have previous offers been ignored by the Feisty Mascot?	1
Amid skepticism that Russia's war in Chechnya can be ended across a negotiating table, peace talks were set to resume Wednesday in neighboring Ingushetia.	Where will the peace talks be held?	1
The scheduled resumption of talks in the town of Sleptsovsk came two days after agreement on a limited cease-fire, calling for both sides to stop using heavy artillery Tuesday.	What do the resumption of the talks in the town of Sleptsovsk do to the cease	1
Amid skepticism that Russia's war in Chechnya can be ended across a negotiating table, peace talks were set to resume Wednesday in neighboring Ingushetia.	Why are the peace talks called resets?	1
In return, President Slobodan Milosevic would have to recognize Bosnia as a sovereign country, a blow to his hopes for a Greater Serbia, and agree to other conditions designed to end the 34-month ethnic conflict.	What is the objective of these conditions?	1
President Clinton has approved a proposal to ease trade and other economic sanctions against Serbia in a new effort to end the war in Bosnia, a senior U.S. official said Tuesday.	What has been the impact of sanctions on Bosnia?	1
President Clinton has approved a proposal to ease trade and other economic sanctions against Serbia in a new effort to end the war in Bosnia, a senior U.S. official said Tuesday.	What will happen with the sanctions lifted?	1
In return, President Slobodan Milosevic would have to recognize Bosnia as a sovereign country, a blow to his hopes for a Greater Serbia, and agree to other conditions designed to end the 34-month ethnic conflict.	What else will the president be asked to do?	1
President Clinton has approved a proposal to ease trade and other economic sanctions against Serbia in a new effort to end the war in Bosnia, a senior U.S. official said Tuesday.	What is the other issue affecting trade and economic sanctions against Serbia?	1
The official stressed the sanctions would be lifted only temporarily and would be reimposed if the Serbian leader reneged.	What would happen if the Serbian leader did not comply?	1
President Clinton has approved a proposal to ease trade and other economic sanctions against Serbia in a new effort to end the war in Bosnia, a senior U.S. official said Tuesday.	What is the current state of the negotiations?	1
In a move aimed at shifting the focus of China's schools back to basic education, the government has ordered that all special schools catering to gifted students be closed down.	Why is this a concern?	1
Such schools cater to the desire of Chinese parents to improve their childrens' chances of advancing to secondary school and university, at whatever the cost.	How do Chinese parents feel about these schools?	1
The State Education Commission and the Chinese Society for Science and Technology issued an urgent circular this week banning such schools after receiving complaints that the elite schools imposed heavy financial burdens on the families of such children, official reports said Wednesday.	When will the circular go into effect?	1
Although basic education is theoretically supposed to be provided free to all children, many schools, especially the best equipped ones, have begun charging exorbitant fees, official reports say.	What will happen to those that continue to charge exorbitant fees?	1
Schools that have already taken fees for the spring semester are required to return them.	What will happen to those schools that did not return the fees?	1
In a move aimed at shifting the focus of China's schools back to basic education, the government has ordered that all special schools catering to gifted students be closed down.	What is the general objective behind the 'back to basics' approach?	1
The elitist nature of such 'Olympic schools,' as they are called, apparently angered Li and other top leaders, who recently began calling for their closure.	What does Li worry might happen as a result of this elitist nature of these schools?	1
Roughly 800 adults and 350 children fled into the jungle as they arrived.	What did the people do after they arrived?	1
'We heard the noise of the trucks, many of them,' said 23-year-old Maria Hernandez, one of perhaps 50 residents who remain here.	What did she say about those who stayed behind?	1
Villagers alleged that the soldiers arrested three villagers, tortured them and dumped their bodies in the road.	What did villagers say about the army's treatment of them?	1
More than 300 army troops, accompanied by two helicopters, rolled through this village Friday as part of its crackdown on the rebel movement in the southern state of Chiapas.	What has happened recently with the army troops that rolled through this village?	1
A survivor of the bloody 1968 battle at Lang Vei Special Forces camps in central Quang Tri province will help dig for the remains of five of his missing comrades, said Air Force Major Randall Garrett, operations officer for the U.S. MIA office in Hanoi.	What happened to the five missing men from the Vietnam war?	1
Frank C. Willoughby, a retired major in the Army's Special Forces -- known as the Green Berets, will return to Lang Vei, where North Vietnamese tanks and infantry overran a base of camps on Feb. 7, 1968, during the Tet Offensive.	What will Willoughby do when he returns to Lang vei?	1
Joint teams of American and Vietnamese specialists plan Thursday to start investigating the fate of 85 U.S. servicemen unaccounted for from the Vietnam War.	How many teams will the joint task force work on?	1
Joint teams of American and Vietnamese specialists plan Thursday to start investigating the fate of 85 U.S. servicemen unaccounted for from the Vietnam War.	How many U.S. servicemen were unaccounted for during the Vietnam War?	1
Joint teams of American and Vietnamese specialists plan Thursday to start investigating the fate of 85 U.S. servicemen unaccounted for from the Vietnam War.	How many of the U.S. servicemen are unaccounted for in Vietnam?	1
MIAMI - In matters of love, nothing says romance like a moonlit beach.	What is especially romantic about the Miami beach?	1
Scientists aren't sure why but they suspect the continuing decline stems from fishing, loss of habitat and a global demand for their sky-blue blood, which is used to screen for toxins in injectable drugs.	What connection do they believe the decline in the population of sea crabs may have to drugs?	1
Starting in 2002, the agency has held an annual spring survey, collecting numbers on sightings around the state.	How many sightings has the Florida Fish and Wildlife Conservation Commission observed?	1
So far, people have reported spotting crabs a total of 2,800 times, enough to get an idea about where they may be located, but not enough to tell researchers about populations, Black explained.	What will this method of collecting data do?	1
The horseshoe crab is not really a crab at all but a relative of the spider.	What is the relationship between the horseshoe crab and the spider?	1
It is one of the oldest unchanged species on Earth known to scientists, older than the continents, and exists only in parts of Asia and North America's Atlantic coast.	How did the horseshoe crab get its current scientific reputation?	1
For most of its history, the world regarded it as junk from the sea.	What was once believed to be junk from the sea?	1
That's a sampling of the four dozen comments and protests on the website of the State Water Resources Control Board about emergency water management after the driest winter in decades.	Who else contributed to the site?	1
From all over California, farmers, environmental lawyers, wildlife groups, cities and even the Fresno County sheriff have posted thoughts in a siege of protests to state officials about the use of this year's puny snowpack and half-empty reservoirs.	What are the arguments of those against the use of the empty reservoirs?	1
Mostly, it's about river water allowed to reach the Pacific Ocean through the Sacramento-San Joaquin River Delta - a perennial California argument filled with suspicion, lawsuits and politics.	What is the political context of the river Delta?	1
