What do foreign policy experts say about the issue?		1
What does Glenn say about the reported black market deal?		1
What does the report say about the dangerous materials coming from the U.S.?		1
What does the report say about the matter?		1
What is not included in the U.S. exports of nuclear material?		1
What else does the report not include?		1
How much plutonium has been produced in the US		1
How much plutonium is needed to make a nuclear weapon?		1
What does the U.S. government expect from the Japanese regarding the issue?		1
What is the recent history of the peace talks?		1
What else was agreed upon by the representatives of the Russian Federation and Ingushetia?		1
What is problematic about the limited cease-fire?		1
Why are the peace talks set to resume?		1
What is the stance of Russia's counterpart to the cease-fire in Ingushetia?		1
How have previous offers been ignored by the Feisty Mascot?		1
Where will the peace talks be held?		1
What do the resumption of the talks in the town of Sleptsovsk do to the cease		1
Why do some feel the cease-fire can hold?		1
Why are the peace talks called resets?		1
What is the objective of these conditions?		1
What has been the impact of sanctions on Bosnia?		1
What will happen with the sanctions lifted?		1
What else will the president be asked to do?		1
What is the other issue affecting trade and economic sanctions against Serbia?		1
What condition is proposed for lifting sanctions?		1
What would happen if the Serbian leader did not comply?		1
What is the current state of the negotiations?		1
What has prevented the peace plan from being implemented?		1
Why is this a concern?		1
How do Chinese parents feel about these schools?		1
What is the cost of education in China?		1
When will the circular go into effect?		1
What will happen to those that continue to charge exorbitant fees?		1
What will happen to those schools that did not return the fees?		1
What did the circular tell schools to do?		1
What is the general objective behind the 'back to basics' approach?		1
What has been the consequence of these 'Olympic schools' not providing basic education to their students		1
What does Li worry might happen as a result of this elitist nature of these schools?		1
How many people live here?		1
How many people did the soldiers and helicopters return to?		1
What did the people do after they arrived?		1
What happened to children during the crackdown?		1
What did she say about those who stayed behind?		1
What did Cesar do as the soldiers arrived?		1
What has the result been for those who stayed in the area after fleeing villages controlled by the army?		1
What did villagers say about the army's treatment of them?		1
What has happened recently with the army troops that rolled through this village?		1
What happened to the five missing men from the Vietnam war?		1
How common is it for a veteran of the Vietnam War to return home?		1
What will Willoughby do when he returns to Lang vei?		1
How many teams will the joint task force work on?		1
How many investigations have been carried out during this time?		1
How many U.S. servicemen were unaccounted for during the Vietnam War?		1
Where were the Americans killed in Vietnam?		1
How have the U.S. and Vietnam met?		1
How many of the U.S. servicemen are unaccounted for in Vietnam?		1
What is especially romantic about the Miami beach?		1
What happened to their numbers?		1
What connection do they believe the decline in the population of sea crabs may have to drugs?		1
What does Black think about the lack of crabs?		1
How many sightings has the Florida Fish and Wildlife Conservation Commission observed?		1
What will this method of collecting data do?		1
What is the relationship between the horseshoe crab and the spider?		1
How did the horseshoe crab get its current scientific reputation?		1
What was once believed to be junk from the sea?		1
Who else contributed to the site?		1
What are the arguments of those against the use of the empty reservoirs?		1
What is the political context of the river Delta?		1
What did the storms do to the Delta?		1
What was happening with the storm surge?		1
What did farmers do to get extra flow?		1
What has the government done to control the situation?		1
What is being emphasized by water leaders?		1
What happened after he took the students to Poland?		1
What did critics of the trip say?		1
What did Dajani do when the controversy started?		1
What is the objective of this program?		1
What inspired Dajani to travel to Poland to visit the site of the Auschwitz concentration camp?		1
What is the attitude of Palestinians towards the Holocaust?		1
What is Dajani's stance on Palestine's education system?		1
What was the purpose of the trip to Poland?		1
Who funded the project?		1
How difficult was it for Dajani to make a trip to Auschwitz?		1
How did the group travel?		1
What did the local promoters do?		1
What did the performer say about the equipment?		1
What do stagehands do on the show?		1
How long did it take Chris Nolan for his new drum sets?		1
What other group has the Philadelphia Orchestra performed with?		1
Who is responsible for orchestrating the Hollywood Concert Orchestra and the Hollywood Festival Orchestra?		1
How are they trying to get the rays of hope?		1
How were previous methods for tracking sharks’ movements?		1
What is the goal of tracking specific species of the fierce fish?		1
Why are sharks important to the healthy ocean ecosystem?		1
What has the collaboration from the research done so far?		1
What is a misleading statement, according to Antonio Fins?		1
What else is not American or Mexican?		1
How many organizations are using solar-powered tags?		1
How have those tests been carried out?		1
What happens after six months?		1
Are there any other factors that might influence the child obesity rate?		1
How has obesity among adolescents changed over time?		1
What about families with less than high-school educations?		1
What could be the negative impact of obesity on public health?		1
What has the percentage for past seven days been?		1
What has changed in that regard?		1
How many of these adolescents reported having done at least 10 minutes of physical activity in the last week?		1
What is the message for teens with less affluent homes?		1
How much did their average calorie intake change?		1
How did the residents of the landfill behave after watching backhoes and bulldozers dig through the concrete		1
How many people were there when the e.t. game cartridges were found?		1
What were some of the people playing the game called?		1
What did Armando Ortega do when he found the huge dump of games?		1
What did they do at the landfill?		1
What did they find when they braved the darkness, coyotes and snakes of the desert landfill?		1
Why are they interested in the game?		1
Why did they decide to do it?		1
What does this mean for the population?		1
What does this mean for the future of the bighorn sheep?		1
Who all contribute to the recovery effort?		1
What happened to the bighorns?		1
How many herds were to be re-introduced?		1
Where else can the reintroduction be compared?		1
When did the bighorn population begin to recover?		1
What happened as a result of the re-population of the bighorn?		1
How much is the cost of rearing of the animals now?		1
What will happen to Riley's case after he is arrested?		1
What will the results of this case change?		1
Who is this person?		1
What are the implications of these cases on the future of the law enforcement system?		1
What privacy concerns are there?		1
What might happen to the police if the case against Riley and Wurie is lost?		1
What is the difference between the two cases?		1
What is Wurie's opinion?		1
What did prosecutors and defense attorneys say about Riley?		1
How does the European Union feel about Canada's rejection of its offer?		1
How did other countries respond?		1
What did Bonino have to say about that?		1
What does she say about this precedent?		1
What else did Bonino say about the situation?		1
What will she ask the EU?		1
What was the catch limit in the North Atlantic Fisheries Organization?		1
What does the EU representative think about the issue?		1
What does Bonino believe about what Canada says?		1
How much did Canada allot to NAFO in the vote?		1
What happened after the Serb war criminal was arrested?		1
What is the history of the man named by the police as a suspected Serb war criminal?		1
What happened to the people who were accused of plundering and setting fire to Muslim houses?		1
How many of the 21 suspects are in custody?		1
Where was he arrested?		1
What is the reason for the detention of Dusan Tadic?		1
What is the next step for the German suspect?		1
How many countries are involved in the investigation?		1
How many have fled to Germany?		1
Why did the German publisher decide to scrap publication of 'An Eye for an Eye'?		1
What was the reaction of German authorities when they found out that book was not appropriate for German readers?		1
What do the people in Germany think about the book?		1
Why do Germans feel that it is understandable considering the evil the Nazis unleashed?		1
What did Giordano say about the book?		1
How many died as a result of typhus?		1
What did John Sack do that justified his claim that 60,000 to 80,000 ethnic Germans died		1
What did Klaus Stadler think about self-censorship?		1
What was the main objection that the author raised in his review?		1
Why is it special for Johnson?		1
Who was the runner up of the 110-meter hurdles?		1
What is the world record?		1
How does this compare to other records?		1
How does this compare to previous records?		1
What is his background?		1
How much does that make Sergei Bubka?		1
How did Maxim Tarasov do in the meet's biggest surprise?		1
How well do other sprinters perform?		1
How much of a gap does that leave between her and the world record?		1
What is one of the issues that needs to be solved?		1
How optimistic is Spring about this, in light of the progress being made?		1
What did he say after the important obstacles overcome?		1
What obstacles prevented the two governments from reaching a shared vision of a Northern Ireland political settlement?		1
What is the stance of the British government towards the future of the United Kingdom?		1
What would the British-Irish document actually involve?		1
How has British Prime Minister David Cameron tried to quell the fears of the Protestant politicians?		1
What has happened this week to illustrate the importance of British-Irish support?		1
What did the Ulster Unionist Party leader say about the negotiations?		1
What do the Ulster Unionists want?		1
What else did Yitzhak Rabin say?		1
What is the Hamas and Islamic Jihad group's involvement?		1
What does he expect from Arafat?		1
What obstacle is Palestine facing?		1
What does he believe will stop the two-state solution from being implemented?		1
What is the extent of the terrorist activity in the West Bank and Gaza Strip?		1
Who was in possession of the explosives?		1
What did Israel Radio say about the discovery?		1
What does the Israeli public want?		1
What is the consequence of view of some Israelis that would lead to Palestinian independence from Israel?		1
Will this be a panacea for all		1
What did the soldiers do to the rebels?		1
What did Zedillo have to say about his plans for the country?		1
What happened in the previous elections?		1
How are people reacting to the change in government?		1
What does the exit of the governor signify?		1
What did those regional PRI dinosaurs that challenged the federal solution of an election dispute do?		1
What did he do to rebuff the accusations?		1
What does Baer believe his solution will be?		1
What did people think of his administration?		1
How does the experience make the crew members feel?		1
What is the cause of the decrease?		1
Why is the reason for the drop unclear?		1
What is predicted to happen to the population of Sardines?		1
What is causing the population to decline so much?		1
How do scientists explain the decline of the fish population?		1
What is the cause of the sardine crash?		1
What is affecting the population?		1
What do other conservation groups think about the situation?		1
What makes them so volatile?		1
What did the researchers do to determine the existence of the unknown pharaohs?		1
What does the name of the tomb mean?		1
How did people know they had found a tomb?		1
What about the other kings that were not thought to be of the same dynasty?		1
What does preliminary work on the skeletal remains of the pharaoh suggest?		1
What did the tomb contain?		1
When did the University of Pennsylvania announce the discovery?		1
When did the team first discover the tomb of a pharaoh?		1
When did the archaeologists find the tomb of Sobekhotep?		1
What about the tombs of other apparent rulers?		1
What did the Willits officials decide to do?		1
What is the limit per household per day?		1
How much rain is coming?		1
What if the situation gets worse?		1
How will the water agencies in California manage the shortages?		1
What crops will be grown this year if the drought does not abate?		1
What about other water users besides the Irrigation District?		1
How did the court rule on the case?		1
What was the case before the panel?		1
What does the judge say about laws that target gays?		1
What was the case that got GlaxoSmithKline to file a lawsuit?		1
What was the outcome of the case?		1
How did GlaxoSmithKline react to the ruling?		1
What did SmithKline say about the defendant?		1
What did the lawyer provide for the strike?		1
What do experts suggest?		1
What is the suggested response?		1
What is the answer to the question?		1
What is horticulture?		1
What do people think of horticulture according to the book?		1
What other career options does Mary H. Meyer believe horticulture can provide?		1
How common is this problem globally?		1
What is England's problem?		1
What is the direct impact of the trades leaving many people with little personal connection to the land?		1
How did the researchers conclude that the honeybees became infected by the pollen-borne RNA virus?		1
How much money does the food industry spend on beehives?		1
What does the virus do?		1
How do the resulting mutations affect the virus?		1
Why do they have a high mutation rate?		1
How does the virus impact the bees?		1
What does the research suggest about the cause of colony collapse disorder?		1
What evidence is there that the virus is associated with lower rates of over-winter survival?		1
What other diseases did the study report?		1
What is an example of the famous Portuguese catamaran?		1
What do critics say about the so-called 'eco-boats'?		1
Why do critics say the boats do little to address the more pressing question of sewage?		1
What other kinds of garbage does the sewage service collect?		1
What has been the outcome of the tests conducted on waterways?		1
What could happen if the catamaran is not careful?		1
What other aquatic event has happened in Rio during the past few days?		1
What happens after the boat is empty?		1
How much is the sewage treatment system?		1
How much do the boats cost?		1
What did the conservationists do to help their endangered species?		1
What happened to the tortoise after that?		1
Why did they choose to tag the tortoise for life?		1
How many of the 7001 MG were found to be in illegal trade?		1
What other ways are the conservancies using shell identification marks to fight poaching?		1
What has happened in the past to get people to help?		1
Why are golden domes of these rarest tortoises being trafficked?		1
Where were the seized ploughshare tortoises being held after they were seized in March?		1
What happened to the ploughshare tortoises after they were captured in 2008?		1
What is the opinion of Senator John Glenn regarding the tracing of U.S. exports of nuclear material?		1
What is the potential danger of the inadequate tracing of U.S. exports of nuclear material?		1
What is the concern regarding U.S. exports of nuclear material?		1
Who commissioned the congressional report on the inadequacy of tracing U.S. exports of nuclear material?		1
What is the reason for the concern over the tracing of U.S. exports of nuclear material?		1
What information does the congressional report provide about U.S. nuclear exports?		1
What are the restrictions on nuclear exports and transfer of nuclear materials to a third country?		1
What discrepancy did the report find between U.S. tracking and Japanese records regarding plutonium production?		1
What is the minimum amount of plutonium needed to make a nuclear weapon, according to U.S. officials?		1
What is the U.S. Department of Energy's response to the congressional report's findings on the tracking of U.S. nuclear exports?		1
What was the reason for the scheduled resumption of peace talks in Ingushetia?		1
What other agreements were made during the limited cease-fire in Chechnya?		1
Did the limited cease-fire agreement result in a complete cessation of hostilities?		1
What is the concern regarding Chechen fighters and their loyalty to President Dudayev in the peace talks?		1
What was Russian Prime Minister Viktor Chernomyrdin's stance on talking to individual field commanders in Chechnya?		1
What has been the Chechens' response to Moscow's willingness to talk to individual field commanders?		1
What is the opinion of Emil Pain, an adviser to President Boris Yeltsin, regarding negotiations in Chechnya?		1
What is the aim of easing trade and economic sanctions against Serbia?		1
What would be the main incentive for Milosevic to agree to the proposed easing of economic sanctions?		1
What has been the impact of the economic sanctions imposed on Serbia?		1
What is the proposed plan for easing trade and economic sanctions against Serbia, and what conditions must be met for the sanctions to be lifted or reimposed?		1
What conditions would Milosevic have to agree to in order for the proposed easing of sanctions to take effect?		1
What is the current situation regarding weapons getting through to the Serbs in Bosnia, despite Milosevic's pledge to cut them off?		1
